Date,High,Avg,Low
3/2/2021,8.0,0.7,0.0
3/3/2021,8.0,1.1,0.0
3/4/2021,7.0,0.7,0.0
3/5/2021,11.0,0.8,0.0
3/6/2021,10.0,2.2,0.0
3/7/2021,16.0,5.3,0.0
3/8/2021,8.0,0.9,0.0
3/9/2021,10.0,0.8,0.0
3/10/2021,8.0,0.9,0.0
3/11/2021,9.0,0.7,0.0
3/12/2021,8.0,0.8,0.0
3/13/2021,12.0,1.2,0.0
3/14/2021,8.0,0.7,0.0
3/15/2021,9.0,0.8,0.0
3/16/2021,8.0,0.8,0.0
3/17/2021,16.0,1.4,0.0
3/18/2021,11.0,0.9,0.0
3/19/2021,11.0,1.0,0.0
3/20/2021,14.0,1.5,0.0
3/21/2021,12.0,1.9,0.0
3/23/2021,7.0,1.2,0.0
3/24/2021,8.0,0.9,0.0
3/25/2021,9.0,1.2,0.0
3/26/2021,7.0,0.7,0.0
3/27/2021,9.0,0.9,0.0
3/28/2021,7.0,0.8,0.0
3/29/2021,9.0,0.6,0.0
3/30/2021,8.0,0.6,0.0
