Date,High,Avg,Low
12/1/2021,7.0,0.8,0.0
12/2/2021,11.0,1.6,0.0
12/3/2021,12.0,2.2,0.0
12/4/2021,13.0,2.0,0.0
12/5/2021,10.0,1.5,0.0
12/6/2021,15.0,2.8,0.0
12/7/2021,13.0,1.7,0.0
12/8/2021,8.0,1.6,0.0
12/9/2021,11.0,1.7,0.0
12/10/2021,11.0,1.1,0.0
12/11/2021,13.0,2.1,0.0
12/12/2021,12.0,1.8,0.0
12/13/2021,17.0,1.7,0.0
12/14/2021,14.0,2.1,0.0
12/15/2021,15.0,2.4,0.0
12/16/2021,15.0,2.5,0.0
12/17/2021,10.0,1.8,0.0
12/18/2021,9.0,1.6,0.0
12/19/2021,9.0,1.3,0.0
12/20/2021,11.0,1.1,0.0
12/21/2021,8.0,0.6,0.0
12/22/2021,16.0,3.5,0.0
12/23/2021,10.0,2.4,0.0
12/24/2021,9.0,1.5,0.0
12/25/2021,9.0,1.2,0.0
12/26/2021,9.0,1.0,0.0
12/27/2021,7.0,0.6,0.0
12/28/2021,9.0,0.8,0.0
12/29/2021,11.0,1.8,0.0
12/30/2021,11.0,1.5,0.0
