Date,High,Avg,Low
10/1/2021,13.0,1.6,0.0
10/2/2021,20.0,2.1,0.0
10/3/2021,15.0,2.5,0.0
10/4/2021,12.0,2.2,0.0
10/5/2021,8.0,0.9,0.0
10/6/2021,8.0,0.9,0.0
10/7/2021,10.0,1.1,0.0
10/8/2021,6.0,0.6,0.0
10/9/2021,13.0,1.6,0.0
10/10/2021,17.0,1.7,0.0
10/11/2021,11.0,1.8,0.0
10/12/2021,8.0,0.9,0.0
10/13/2021,9.0,1.1,0.0
10/14/2021,11.0,1.4,0.0
10/15/2021,13.0,1.2,0.0
10/16/2021,14.0,3.0,0.0
10/17/2021,13.0,2.5,0.0
10/18/2021,16.0,2.8,0.0
10/19/2021,14.0,2.3,0.0
10/20/2021,7.0,1.0,0.0
10/21/2021,11.0,1.9,0.0
10/22/2021,12.0,2.3,0.0
10/23/2021,15.0,3.2,0.0
10/24/2021,14.0,2.7,0.0
10/25/2021,14.0,2.3,0.0
10/26/2021,15.0,2.1,0.0
10/27/2021,12.0,1.7,0.0
10/28/2021,8.0,1.9,0.0
10/29/2021,10.0,2.7,0.0
10/30/2021,7.0,0.9,0.0
10/31/2021,7.0,0.6,0.0
