Date,High,Avg,Low
9/1/2021,11.0,1.0,0.0
9/2/2021,12.0,1.3,0.0
9/3/2021,10.0,1.2,0.0
9/4/2021,10.0,1.4,0.0
9/5/2021,11.0,1.6,0.0
9/6/2021,9.0,1.8,0.0
9/7/2021,13.0,1.9,0.0
9/8/2021,16.0,1.9,0.0
9/9/2021,7.0,0.6,0.0
9/10/2021,8.0,0.8,0.0
9/11/2021,9.0,1.1,0.0
9/12/2021,11.0,1.8,0.0
9/13/2021,17.0,2.1,0.0
9/14/2021,14.0,2.1,0.0
9/15/2021,10.0,1.2,0.0
9/16/2021,11.0,1.3,0.0
9/17/2021,12.0,2.4,0.0
9/18/2021,9.0,1.9,0.0
9/19/2021,8.0,0.9,0.0
9/20/2021,10.0,1.1,0.0
9/21/2021,10.0,1.5,0.0
9/22/2021,12.0,1.2,0.0
9/23/2021,12.0,1.7,0.0
9/24/2021,16.0,2.3,0.0
9/25/2021,9.0,1.4,0.0
9/26/2021,15.0,1.6,0.0
9/27/2021,18.0,2.6,0.0
9/28/2021,14.0,2.0,0.0
9/29/2021,17.0,2.2,0.0
