Date,High,Avg,Low
2/1/2021,11.0,2.2,0.0
2/2/2021,14.0,2.2,0.0
2/3/2021,11.0,1.7,0.0
2/4/2021,15.0,2.1,0.0
2/5/2021,10.0,1.5,0.0
2/6/2021,12.0,2.6,0.0
2/7/2021,14.0,2.7,0.0
2/8/2021,11.0,1.4,0.0
2/9/2021,9.0,1.1,0.0
2/10/2021,11.0,1.6,0.0
2/11/2021,14.0,2.2,0.0
2/12/2021,14.0,2.1,0.0
2/13/2021,21.0,1.9,0.0
2/14/2021,9.0,1.2,0.0
2/15/2021,10.0,1.5,0.0
2/16/2021,12.0,1.0,0.0
2/17/2021,7.0,0.4,0.0
2/18/2021,7.0,0.6,0.0
2/19/2021,12.0,2.1,0.0
2/20/2021,15.0,2.9,0.0
2/21/2021,13.0,2.1,0.0
2/22/2021,14.0,1.8,0.0
2/23/2021,12.0,1.8,0.0
2/24/2021,12.0,1.7,0.0
2/25/2021,11.0,2.3,0.0
