Date,High,Avg,Low
11/1/2021,9.0,1.1,0.0
11/2/2021,10.0,1.1,0.0
11/3/2021,9.0,1.3,0.0
11/4/2021,9.0,1.3,0.0
11/5/2021,10.0,0.7,0.0
11/6/2021,10.0,0.9,0.0
11/7/2021,11.0,1.2,0.0
11/8/2021,9.0,1.0,0.0
11/9/2021,9.0,0.8,0.0
11/10/2021,9.0,1.0,0.0
11/11/2021,15.0,1.4,0.0
11/12/2021,10.0,1.3,0.0
11/13/2021,11.0,1.8,0.0
11/14/2021,13.0,2.6,0.0
11/15/2021,13.0,2.3,0.0
11/16/2021,9.0,1.2,0.0
11/17/2021,11.0,1.3,0.0
11/18/2021,14.0,2.0,0.0
11/19/2021,15.0,2.1,0.0
11/20/2021,14.0,2.7,0.0
11/21/2021,11.0,1.6,0.0
11/22/2021,10.0,0.8,0.0
11/23/2021,9.0,1.0,0.0
11/24/2021,13.0,2.5,0.0
11/25/2021,11.0,1.9,0.0
11/26/2021,9.0,0.9,0.0
11/27/2021,7.0,0.9,0.0
11/28/2021,8.0,1.3,0.0
11/29/2021,7.0,0.8,0.0
11/30/2021,9.0,1.0,0.0
