Date,High,Avg,Low
4/1/2021,9.0,0.7,0.0
4/2/2021,9.0,1.0,0.0
4/3/2021,12.0,1.5,0.0
4/4/2021,13.0,2.2,0.0
4/5/2021,12.0,2.4,0.0
4/6/2021,11.0,0.9,0.0
4/7/2021,8.0,1.5,0.0
4/8/2021,15.0,1.8,0.0
4/9/2021,15.0,2.2,0.0
4/10/2021,11.0,2.3,0.0
4/11/2021,10.0,1.4,0.0
4/12/2021,11.0,1.2,0.0
4/13/2021,7.0,0.5,0.0
4/14/2021,14.0,2.2,0.0
4/15/2021,11.0,1.8,0.0
4/16/2021,15.0,1.9,0.0
4/17/2021,10.0,2.9,0.0
4/18/2021,6.0,0.4,0.0
4/19/2021,10.0,1.0,0.0
4/20/2021,7.0,0.4,0.0
4/21/2021,7.0,0.7,0.0
4/22/2021,8.0,0.5,0.0
4/23/2021,9.0,0.6,0.0
4/24/2021,9.0,0.7,0.0
4/25/2021,12.0,1.3,0.0
4/26/2021,11.0,1.0,0.0
4/27/2021,11.0,1.7,0.0
4/28/2021,17.0,1.9,0.0
4/30/2021,13.0,2.2,0.0
