Date,High,Avg,Low
8/1/2021,20.0,1.2,0.0
8/2/2021,14.0,1.0,0.0
8/3/2021,11.0,1.0,0.0
8/4/2021,8.0,0.7,0.0
8/5/2021,9.0,1.2,0.0
8/6/2021,9.0,0.8,0.0
8/7/2021,14.0,1.4,0.0
8/8/2021,8.0,0.8,0.0
8/9/2021,8.0,0.7,0.0
8/10/2021,7.0,0.7,0.0
8/11/2021,9.0,0.8,0.0
8/12/2021,14.0,2.6,0.0
8/13/2021,8.0,0.8,0.0
8/14/2021,8.0,0.8,0.0
8/15/2021,9.0,1.1,0.0
8/16/2021,7.0,0.6,0.0
8/17/2021,9.0,0.9,0.0
8/18/2021,13.0,1.5,0.0
8/19/2021,10.0,1.2,0.0
8/20/2021,10.0,1.3,0.0
8/21/2021,8.0,0.7,0.0
8/22/2021,8.0,0.5,0.0
8/23/2021,9.0,0.5,0.0
8/24/2021,9.0,0.8,0.0
8/25/2021,10.0,1.0,0.0
8/26/2021,7.0,0.8,0.0
8/27/2021,16.0,2.2,0.0
8/28/2021,16.0,4.7,0.0
8/29/2021,18.0,3.9,0.0
8/30/2021,10.0,2.0,0.0
8/31/2021,8.0,0.7,0.0
