Date,High,Avg,Low
6/1/2021,8.0,0.5,0.0
6/2/2021,14.0,1.8,0.0
6/3/2021,14.0,2.3,0.0
6/4/2021,12.0,1.6,0.0
6/5/2021,12.0,2.6,0.0
6/6/2021,8.0,0.7,0.0
6/7/2021,7.0,0.9,0.0
6/8/2021,10.0,1.4,0.0
6/9/2021,9.0,1.1,0.0
6/10/2021,7.0,1.1,0.0
6/11/2021,17.0,1.9,0.0
6/12/2021,16.0,2.1,0.0
6/13/2021,18.0,2.6,0.0
6/14/2021,16.0,2.3,0.0
6/15/2021,7.0,0.7,0.0
6/16/2021,7.0,0.5,0.0
6/17/2021,10.0,1.0,0.0
6/18/2021,10.0,1.1,0.0
6/19/2021,8.0,0.5,0.0
6/20/2021,7.0,0.8,0.0
6/21/2021,9.0,0.5,0.0
6/22/2021,6.0,0.4,0.0
6/23/2021,12.0,0.8,0.0
6/24/2021,12.0,0.9,0.0
6/25/2021,12.0,1.3,0.0
6/26/2021,12.0,1.6,0.0
6/27/2021,11.0,1.7,0.0
6/28/2021,10.0,0.9,0.0
6/29/2021,10.0,0.8,0.0
