Date,High,Avg,Low
7/1/2021,13.0,1.3,0.0
7/2/2021,8.0,0.7,0.0
7/3/2021,11.0,1.0,0.0
7/4/2021,14.0,0.8,0.0
7/5/2021,15.0,1.0,0.0
7/6/2021,16.0,1.0,0.0
7/7/2021,9.0,1.3,0.0
7/8/2021,10.0,1.3,0.0
7/9/2021,14.0,2.5,0.0
7/10/2021,15.0,3.2,0.0
7/11/2021,11.0,1.2,0.0
7/12/2021,9.0,0.8,0.0
7/13/2021,8.0,0.6,0.0
7/14/2021,13.0,1.2,0.0
7/15/2021,15.0,1.3,0.0
7/16/2021,11.0,1.3,0.0
7/17/2021,11.0,1.0,0.0
7/18/2021,20.0,1.7,0.0
7/19/2021,12.0,1.6,0.0
7/20/2021,11.0,1.6,0.0
7/21/2021,9.0,1.3,0.0
7/22/2021,14.0,1.2,0.0
7/23/2021,14.0,1.3,0.0
7/24/2021,10.0,0.7,0.0
7/25/2021,9.0,1.3,0.0
7/26/2021,8.0,0.6,0.0
7/27/2021,10.0,1.2,0.0
7/28/2021,16.0,2.1,0.0
7/29/2021,11.0,2.2,0.0
7/30/2021,10.0,1.5,0.0
7/31/2021,12.0,1.1,0.0
