"TOA5","61769","CR1000","61769","CR1000.Std.27.04","CPU:SA program.CR1","33882","Nov1"
"TIMESTAMP","RECORD","BP_hPa_Avg","AirTC_Avg","WS_ms_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","FG_CMP3_Avg","SlrW_2_Avg"
"TS","RN","hPa","Deg C","meters/second","meters/second","Deg","Deg","W/m^2","W/m^2"
"","","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg"
"2022-10-05 10:01:00",8159,483.5,24.08,0.94,0.94,359.9,0.11,NAN,NAN
"2022-10-05 10:11:00",8160,477.3,24.02,0.82,0.82,359.9,0.11,NAN,NAN
"2022-10-05 10:21:00",8161,485,24.03,1.017,1.017,359.9,0.10,NAN,NAN
"2022-10-05 10:31:00",8162,481.7,23.98,1.297,1.297,359.9,0.10,NAN,NAN
"2022-10-05 10:41:00",8163,488.5,24.75,0.67,0.67,359.9,0.10,NAN,NAN
"2022-10-05 10:51:00",8164,485.9,24.67,0.86,0.86,359.9,0.10,NAN,NAN
"2022-10-05 11:01:00",8165,482.5,25.02,1.261,1.261,359.9,0.11,NAN,NAN
"2022-10-05 11:11:00",8166,483.8,25.5,1.00,1.00,359.9,0.10,NAN,NAN
"2022-10-05 11:21:00",8167,485.8,25.56,0.82,0.82,359.9,0.10,NAN,NAN
"2022-10-05 11:31:00",8168,482.9,25.8,1.097,1.097,359.9,0.11,NAN,NAN
"2022-10-05 11:41:00",8169,482.3,25.43,1.194,1.194,359.9,0.10,NAN,NAN
"2022-10-05 11:51:00",8170,480.9,25.46,0.89,0.89,359.9,0.10,NAN,NAN
"2022-10-05 12:01:00",8171,480.9,24.97,0.93,0.93,359.9,0.10,NAN,NAN
"2022-10-05 12:11:00",8172,477.9,25.53,1.2,1.2,359.9,0.11,NAN,NAN
"2022-10-05 12:21:00",8173,478.5,25.53,1.302,1.302,359.9,0.11,NAN,NAN
"2022-10-05 12:31:00",8174,480.7,25.5,0.98,0.98,359.9,0.10,NAN,NAN
"2022-10-05 12:41:00",8175,486.5,25.16,1.226,1.226,359.9,0.10,NAN,NAN
"2022-10-05 12:51:00",8176,487.3,25.5,0.97,0.97,359.9,0.10,NAN,NAN
"2022-10-05 13:01:00",8177,483.5,25.31,0.63,0.63,359.9,0.10,NAN,NAN
"2022-10-05 13:11:00",8178,487.8,25.31,0.70,0.70,359.9,0.10,NAN,NAN
"2022-10-05 13:21:00",8179,486.7,25.41,0.74,0.74,359.9,0.10,NAN,NAN
"2022-10-05 13:31:00",8180,481.9,25.05,0.60,0.60,359.9,0.11,NAN,NAN
"2022-10-05 13:41:00",8181,485.9,25.13,0.50,0.50,359.9,0.10,NAN,NAN
"2022-10-05 13:51:00",8182,485.7,25.78,0.28,0.28,359.9,0.10,NAN,NAN
"2022-10-05 14:01:00",8183,490.2,25.16,0.46,0.46,359.9,0.10,NAN,NAN
"2022-10-05 14:11:00",8184,485.3,25.59,0.40,0.40,359.9,0.11,NAN,NAN
"2022-10-05 14:21:00",8185,490.2,24.28,0.52,0.52,359.9,0.10,NAN,NAN
"2022-10-05 14:31:00",8186,490.3,24.56,0.43,0.43,359.9,0.10,NAN,NAN
"2022-10-05 14:41:00",8187,490.5,24.5,0.23,0.23,359.9,0.10,NAN,NAN
"2022-10-05 14:51:00",8188,491.3,24.87,0.26,0.26,359.9,0.10,NAN,NAN
"2022-10-05 15:01:00",8189,490.9,24.31,0.22,0.22,359.9,0.10,NAN,NAN
"2022-10-05 15:11:00",8190,490.5,23.48,0.35,0.35,359.9,0.10,NAN,NAN
"2022-10-05 15:21:00",8191,491,23.64,0.34,0.34,359.9,0.10,NAN,NAN
"2022-10-05 15:31:00",8192,491.5,23.53,0.15,0.15,359.9,0.10,NAN,NAN
"2022-10-05 15:41:00",8193,489.8,23.32,0.27,0.27,359.9,0.10,NAN,NAN
"2022-10-05 15:51:00",8194,490.6,22.93,0.11,0.11,359.9,0.10,NAN,NAN
"2022-10-05 16:01:00",8195,486.7,22.98,0.13,0.13,359.9,0.10,NAN,NAN
"2022-10-05 16:11:00",8196,486.3,22.67,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 16:21:00",8197,484.6,21.98,0.11,0.11,359.9,0.10,NAN,NAN
"2022-10-05 16:31:00",8198,485.3,22.36,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 16:41:00",8199,488.7,22.48,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 16:51:00",8200,486.1,22.28,0.1,0.1,359.9,0.10,NAN,NAN
"2022-10-05 17:01:00",8201,485.5,21.97,0.10,0.10,359.9,0.11,NAN,NAN
"2022-10-05 17:11:00",8202,486.8,21.94,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 17:21:00",8203,484.1,21.85,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 17:31:00",8204,482,21.56,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 17:41:00",8205,483.7,21.21,0.10,0.10,359.9,0.11,NAN,NAN
"2022-10-05 17:51:00",8206,483,20.96,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 18:01:00",8207,480.6,20.91,0.10,0.10,359.9,0.11,NAN,NAN
"2022-10-05 18:11:00",8208,478.5,20.52,0.10,0.10,359.9,0.11,NAN,NAN
"2022-10-05 18:21:00",8209,479,20.01,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 18:31:00",8210,479.6,19.69,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 18:41:00",8211,476.8,19.48,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 18:51:00",8212,477,19.28,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 19:01:00",8213,477.9,19.1,0.10,0.10,359.9,0.11,NAN,NAN
"2022-10-05 19:11:00",8214,477.7,18.93,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 19:21:00",8215,476,18.73,0.10,0.10,359.9,0.11,NAN,NAN
"2022-10-05 19:31:00",8216,476.5,18.65,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 19:41:00",8217,479.8,18.54,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 19:51:00",8218,478.3,18.45,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 20:01:00",8219,480.6,18.41,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 20:11:00",8220,478.7,18.37,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 20:21:00",8221,480.5,18.22,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 20:31:00",8222,478.5,18.13,0.10,0.10,359.9,0.11,NAN,NAN
"2022-10-05 20:41:00",8223,477.6,18.04,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 20:51:00",8224,475.5,17.91,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 21:01:00",8225,477.2,17.81,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 21:11:00",8226,481.8,17.84,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 21:21:00",8227,477,17.72,0.10,0.10,359.9,0.11,NAN,NAN
"2022-10-05 21:31:00",8228,477.9,17.71,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 21:41:00",8229,483.7,17.71,0.1,0.1,359.9,0.10,NAN,NAN
"2022-10-05 21:51:00",8230,477.9,17.65,0.10,0.10,359.9,0.11,NAN,NAN
"2022-10-05 22:01:00",8231,481.2,17.77,0.11,0.11,359.9,0.10,NAN,NAN
"2022-10-05 22:11:00",8232,478.6,17.92,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 22:21:00",8233,477.9,17.93,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 22:31:00",8234,477.8,17.92,0.11,0.11,359.9,0.11,NAN,NAN
"2022-10-05 22:41:00",8235,477.7,17.81,0.10,0.10,359.9,0.11,NAN,NAN
"2022-10-05 22:51:00",8236,479.4,17.81,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 23:01:00",8237,479.4,17.78,0.10,0.10,359.9,0.10,NAN,NAN
"2022-10-05 23:11:00",8238,480.3,17.66,0.10,0.10,359.9,0.10,NAN,NAN
