"TOA5","61769","CR1000","61769","CR1000.Std.27.04","CPU:SA program.CR1","33882","Nov1"
"TIMESTAMP","RECORD","BP_hPa_Avg","AirTC_Avg","WS_ms_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","FG_CMP3_Avg","SlrW_2_Avg"
"TS","RN","hPa","Deg C","meters/second","meters/second","Deg","Deg","W/m^2","W/m^2"
"","","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg"
"2022-11-07 11:01:00",12917,500.8,26.43,1.138,1.138,359.9,0.10,NAN,NAN
"2022-11-07 11:11:00",12918,490.9,27.03,0.93,0.93,359.9,0.11,NAN,NAN
"2022-11-07 11:21:00",12919,490,26.81,0.98,0.98,359.9,0.11,NAN,NAN
"2022-11-07 11:31:00",12920,490.4,27.92,0.68,0.68,359.9,0.11,NAN,NAN
"2022-11-07 11:41:00",12921,491.7,27.85,1.014,1.014,359.9,0.11,NAN,2.582
"2022-11-07 11:51:00",12922,492.3,27.23,1.104,1.104,359.9,0.11,NAN,1.447
"2022-11-07 12:01:00",12923,492.4,27.38,1.08,1.08,359.9,0.11,NAN,1.154
"2022-11-07 12:11:00",12924,491.8,26.07,1.173,1.173,359.9,0.11,NAN,1.346
"2022-11-07 12:21:00",12925,492.1,27.78,0.91,0.91,359.9,0.11,NAN,0.15
"2022-11-07 12:31:00",12926,492.9,26.73,0.93,0.93,359.9,0.11,NAN,0
"2022-11-07 12:41:00",12927,493.3,27.82,0.70,0.70,359.9,0.11,NAN,NAN
"2022-11-07 12:51:00",12928,494,26.52,1.204,1.204,359.9,0.11,NAN,NAN
"2022-11-07 13:01:00",12929,494.2,27.54,1.138,1.138,359.9,0.11,NAN,NAN
"2022-11-07 13:11:00",12930,494.6,26.21,0.66,0.66,359.9,0.11,NAN,NAN
"2022-11-07 13:21:00",12931,494.3,26.26,0.91,0.91,359.9,0.11,NAN,NAN
"2022-11-07 13:31:00",12932,494.1,25.93,1.113,1.113,359.9,0.11,NAN,NAN
"2022-11-07 13:41:00",12933,494.3,26.31,1.055,1.055,359.9,0.11,NAN,NAN
"2022-11-07 13:51:00",12934,494.5,26.09,0.90,0.90,359.9,0.11,NAN,NAN
"2022-11-07 14:01:00",12935,495.1,26.56,0.97,0.97,359.9,0.11,NAN,NAN
"2022-11-07 14:11:00",12936,496.2,27.04,0.70,0.70,359.9,0.11,NAN,NAN
"2022-11-07 14:21:00",12937,497.2,26.82,1.014,1.014,359.9,0.11,NAN,NAN
"2022-11-07 14:31:00",12938,497,26.17,1.216,1.216,359.9,0.11,NAN,NAN
"2022-11-07 14:41:00",12939,497.2,26.88,0.77,0.77,359.9,0.11,NAN,NAN
"2022-11-07 14:51:00",12940,497.4,26.37,0.92,0.92,359.9,0.11,NAN,NAN
"2022-11-07 15:01:00",12941,497.5,26.66,0.77,0.77,359.9,0.11,NAN,NAN
"2022-11-07 15:11:00",12942,498.5,26.48,0.62,0.62,359.9,0.11,NAN,NAN
"2022-11-07 15:21:00",12943,497.9,26.79,0.83,0.83,359.9,0.10,NAN,NAN
"2022-11-07 15:31:00",12944,496.2,26.19,0.84,0.84,359.9,0.11,NAN,NAN
"2022-11-07 15:41:00",12945,495.7,26.13,0.34,0.34,359.9,0.11,NAN,NAN
"2022-11-07 15:51:00",12946,495.3,25.36,0.62,0.62,359.9,0.11,NAN,NAN
"2022-11-07 16:01:00",12947,494.4,25.62,0.50,0.50,359.9,0.11,NAN,NAN
"2022-11-07 16:11:00",12948,493.9,25.21,0.46,0.46,359.9,0.11,NAN,NAN
"2022-11-07 16:21:00",12949,493.4,25.03,0.36,0.36,359.9,0.11,NAN,NAN
"2022-11-07 16:31:00",12950,493.1,24.67,0.12,0.12,359.9,0.11,NAN,NAN
"2022-11-07 16:41:00",12951,492.8,24.29,0.29,0.29,359.9,0.11,NAN,NAN
"2022-11-07 16:51:00",12952,492.7,24.56,0.18,0.18,359.9,0.11,NAN,NAN
"2022-11-07 17:01:00",12953,492.9,24.23,0.18,0.18,359.9,0.11,NAN,NAN
"2022-11-07 17:11:00",12954,492.7,23.56,0.15,0.15,359.9,0.11,NAN,NAN
"2022-11-07 17:21:00",12955,492.6,23.74,0.13,0.13,359.9,0.11,NAN,NAN
"2022-11-07 17:31:00",12956,493,23.74,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 17:41:00",12957,493.8,23.57,0.19,0.19,359.9,0.11,NAN,NAN
"2022-11-07 17:51:00",12958,492.9,22.99,0.18,0.18,359.9,0.11,NAN,NAN
"2022-11-07 18:01:00",12959,492.8,22.53,0.12,0.12,359.9,0.11,NAN,NAN
"2022-11-07 18:11:00",12960,492.3,22.24,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 18:21:00",12961,492.3,22.13,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 18:31:00",12962,492.5,22.21,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 18:41:00",12963,495.2,22.28,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 18:51:00",12964,494,22.26,0.12,0.12,359.9,0.11,NAN,NAN
"2022-11-07 19:01:00",12965,494.4,21.89,0.11,0.11,359.9,0.11,NAN,NAN
"2022-11-07 19:11:00",12966,493.9,21.5,0.11,0.11,359.9,0.11,NAN,NAN
"2022-11-07 19:21:00",12967,493,21.19,0.10,0.10,359.9,0.12,NAN,NAN
"2022-11-07 19:31:00",12968,493.1,20.93,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 19:41:00",12969,496.3,20.77,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 19:51:00",12970,497.2,20.59,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 20:01:00",12971,495.1,20.61,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 20:11:00",12972,494.2,20.57,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 20:21:00",12973,498.6,20.47,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 20:31:00",12974,499.6,20.36,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 20:41:00",12975,493.1,20.22,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 20:51:00",12976,492.8,20.03,0.10,0.10,359.9,0.12,NAN,NAN
"2022-11-07 21:01:00",12977,493.1,19.84,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 21:11:00",12978,493.1,19.79,0.10,0.10,359.9,0.12,NAN,NAN
"2022-11-07 21:21:00",12979,495,19.72,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 21:31:00",12980,494.3,19.59,0.11,0.11,359.9,0.11,NAN,NAN
"2022-11-07 21:41:00",12981,499,19.51,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 21:51:00",12982,496.6,19.45,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 22:01:00",12983,498.2,19.38,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 22:11:00",12984,499.8,19.16,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 22:21:00",12985,493.2,19.12,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 22:31:00",12986,499.8,19.25,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 22:41:00",12987,499.7,19.33,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 22:51:00",12988,498.7,19.55,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 23:01:00",12989,499.7,19.59,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 23:11:00",12990,495,19.76,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 23:21:00",12991,498.2,19.77,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 23:31:00",12992,497.6,19.47,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 23:41:00",12993,494.7,19.47,0.10,0.10,359.9,0.11,NAN,NAN
"2022-11-07 23:51:00",12994,494.5,19.36,0.10,0.10,359.9,0.12,NAN,NAN
"2022-11-08 00:01:00",12995,494.6,19.17,0.10,0.10,359.9,0.12,NAN,NAN
"2022-11-08 00:11:00",12996,495.5,18.95,0.10,0.10,359.9,0.11,NAN,NAN
