"TOA5","61769","CR1000","61769","CR1000.Std.27.04","CPU:SA program.CR1","33882","Nov1"
"TIMESTAMP","RECORD","BP_hPa_Avg","AirTC_Avg","WS_ms_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","FG_CMP3_Avg","SlrW_2_Avg"
"TS","RN","hPa","Deg C","meters/second","meters/second","Deg","Deg","W/m^2","W/m^2"
"","","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg"
"2022-08-25 14:11:00",2280,497.5,20.4,1.456,1.456,359.9,0.10,NAN,NAN
"2022-08-25 14:21:00",2281,497.8,21.61,1.341,1.341,359.9,0.10,NAN,NAN
"2022-08-25 14:31:00",2282,497.8,21.54,1.266,1.266,359.9,0.10,NAN,NAN
"2022-08-25 14:41:00",2283,497.6,21.85,1.325,1.325,359.9,0.10,NAN,NAN
"2022-08-25 14:51:00",2284,497.2,21.91,1.321,1.321,359.9,0.10,NAN,NAN
"2022-08-25 15:01:00",2285,496.4,21.28,1.169,1.169,359.9,0.10,NAN,NAN
"2022-08-25 15:11:00",2286,495.3,20.97,1.299,1.299,359.9,0.10,NAN,NAN
"2022-08-25 15:21:00",2287,494.2,21.1,1.215,1.215,359.9,0.11,NAN,NAN
"2022-08-25 15:31:00",2288,494.9,20.94,1.637,1.637,359.9,0.10,NAN,NAN
"2022-08-25 15:41:00",2289,493.7,21.27,1.3,1.3,359.9,0.10,NAN,NAN
"2022-08-25 15:51:00",2290,493.5,21.04,1.298,1.298,359.9,0.10,NAN,NAN
"2022-08-25 16:01:00",2291,492.7,20.89,1.044,1.044,359.9,0.11,NAN,NAN
"2022-08-25 16:11:00",2292,492.3,21.12,1.407,1.407,359.9,0.11,NAN,NAN
"2022-08-25 16:21:00",2293,494,21.11,1.311,1.311,359.9,0.10,NAN,NAN
"2022-08-25 16:31:00",2294,492,20.67,1.242,1.242,359.9,0.11,NAN,NAN
"2022-08-25 16:41:00",2295,491.7,20.34,0.95,0.95,359.9,0.11,NAN,NAN
"2022-08-25 16:51:00",2296,491.7,20.16,1.059,1.059,359.9,0.10,NAN,NAN
"2022-08-25 17:01:00",2297,489.6,19.83,0.98,0.98,359.9,0.11,NAN,NAN
"2022-08-25 17:11:00",2298,488.7,19.35,0.58,0.58,359.9,0.11,NAN,NAN
"2022-08-25 17:21:00",2299,491.4,19.06,0.73,0.73,359.9,0.11,NAN,NAN
"2022-08-25 17:31:00",2300,491.5,18.96,0.74,0.74,359.9,0.10,NAN,NAN
"2022-08-25 17:41:00",2301,490.8,18.81,0.45,0.45,359.9,0.11,NAN,NAN
"2022-08-25 17:51:00",2302,493.2,18.7,0.46,0.46,359.9,0.11,NAN,NAN
"2022-08-25 18:01:00",2303,499.8,18.67,0.40,0.40,359.9,0.11,NAN,NAN
"2022-08-25 18:11:00",2304,491.1,18.58,0.68,0.68,359.9,0.11,NAN,NAN
"2022-08-25 18:21:00",2305,491.3,18.41,0.35,0.35,359.9,0.11,NAN,NAN
"2022-08-25 18:31:00",2306,491.3,18.23,0.16,0.16,359.9,0.11,NAN,NAN
"2022-08-25 18:41:00",2307,491.5,18.04,0.24,0.24,359.9,0.11,NAN,NAN
"2022-08-25 18:51:00",2308,491.8,17.89,0.17,0.17,359.9,0.11,NAN,NAN
"2022-08-25 19:01:00",2309,492.2,17.77,0.26,0.26,359.9,0.11,NAN,NAN
"2022-08-25 19:11:00",2310,492,17.71,0.30,0.30,359.9,0.11,NAN,NAN
"2022-08-25 19:21:00",2311,492.3,17.67,0.45,0.45,359.9,0.11,NAN,NAN
"2022-08-25 19:31:00",2312,492.9,17.62,0.21,0.21,359.9,0.11,NAN,NAN
"2022-08-25 19:41:00",2313,493.3,17.5,0.20,0.20,359.9,0.11,NAN,NAN
"2022-08-25 19:51:00",2314,493.6,17.54,0.20,0.20,359.9,0.11,NAN,NAN
"2022-08-25 20:01:00",2315,493.7,17.57,0.24,0.24,359.9,0.11,NAN,NAN
"2022-08-25 20:11:00",2316,493.9,17.48,0.27,0.27,359.9,0.11,NAN,NAN
"2022-08-25 20:21:00",2317,494.1,17.46,0.37,0.37,359.9,0.11,NAN,NAN
"2022-08-25 20:31:00",2318,494.3,17.39,0.26,0.26,359.9,0.11,NAN,NAN
"2022-08-25 20:41:00",2319,494.4,17.38,0.24,0.24,359.9,0.10,NAN,NAN
"2022-08-25 20:51:00",2320,496.4,17.36,0.22,0.22,359.9,0.10,NAN,NAN
"2022-08-25 21:01:00",2321,495,17.39,0.26,0.26,359.9,0.10,NAN,NAN
"2022-08-25 21:11:00",2322,494.6,17.3,0.16,0.16,359.9,0.11,NAN,NAN
"2022-08-25 21:21:00",2323,496.9,17.25,0.22,0.22,359.9,0.09,NAN,NAN
"2022-08-25 21:31:00",2324,504.8,16.98,0.14,0.14,359.9,0.08,NAN,NAN
"2022-08-25 21:41:00",2325,497.9,16.72,0.10,0.10,359.9,0.09,NAN,NAN
"2022-08-25 21:51:00",2326,494.5,16.65,0.19,0.19,359.9,0.10,NAN,NAN
"2022-08-25 22:01:00",2327,495.4,16.89,0.14,0.14,359.9,0.10,NAN,NAN
"2022-08-25 22:11:00",2328,500.8,16.79,0.13,0.13,359.9,0.06,NAN,NAN
"2022-08-25 22:21:00",2329,500.3,16.75,0.11,0.11,359.9,0.07,NAN,NAN
"2022-08-25 22:31:00",2330,502.9,16.89,0.22,0.22,359.9,0.07,NAN,NAN
"2022-08-25 22:41:00",2331,519.2,17.11,0.39,0.39,359.9,0.07,NAN,NAN
"2022-08-25 22:51:00",2332,513.2,17.1,0.24,0.24,359.9,0.08,NAN,NAN
"2022-08-25 23:01:00",2333,513,17.2,0.38,0.38,359.9,0.06,NAN,NAN
"2022-08-25 23:11:00",2334,513.7,17.13,0.25,0.25,359.9,0.07,NAN,NAN
"2022-08-25 23:21:00",2335,519.1,16.9,0.16,0.16,359.9,0.04,NAN,NAN
"2022-08-25 23:31:00",2336,511.2,16.82,0.42,0.42,359.9,0.03,NAN,NAN
"2022-08-25 23:41:00",2337,506.3,16.84,0.32,0.32,359.9,0.06,NAN,NAN
"2022-08-25 23:51:00",2338,512.2,16.62,0.26,0.26,359.9,0.03,NAN,NAN
"2022-08-26 00:01:00",2339,519.4,16.55,0.16,0.16,359.9,0.06,NAN,NAN
"2022-08-26 00:11:00",2340,508.5,16.38,0.13,0.13,359.9,0.03,NAN,NAN
"2022-08-26 00:21:00",2341,497.1,16.33,0.14,0.14,359.9,0.10,NAN,NAN
"2022-08-26 00:31:00",2342,497.4,16.51,0.28,0.28,359.9,0.09,NAN,NAN
"2022-08-26 00:41:00",2343,497.3,16.39,0.12,0.12,359.9,0.08,NAN,NAN
"2022-08-26 00:51:00",2344,496.1,16.49,0.11,0.11,359.9,0.09,NAN,NAN
"2022-08-26 01:01:00",2345,500.5,16.57,0.21,0.21,359.9,0.04,NAN,NAN
"2022-08-26 01:11:00",2346,500.4,16.5,0.13,0.13,359.9,0.04,NAN,NAN
"2022-08-26 01:21:00",2347,497,16.52,0.21,0.21,359.9,0.07,NAN,NAN
"2022-08-26 01:31:00",2348,504.5,16.49,0.21,0.21,359.9,0.06,NAN,NAN
"2022-08-26 01:41:00",2349,503.6,16.64,0.30,0.30,359.9,0.06,NAN,NAN
"2022-08-26 01:51:00",2350,500.7,16.76,0.29,0.29,359.9,0.03,NAN,NAN
"2022-08-26 02:01:00",2351,497.9,16.67,0.13,0.13,359.9,0.03,NAN,NAN
"2022-08-26 02:11:00",2352,498.7,16.7,0.25,0.25,359.9,0.04,NAN,NAN
"2022-08-26 02:21:00",2353,496.2,16.75,0.38,0.38,359.9,0.08,NAN,NAN
"2022-08-26 02:31:00",2354,498.8,16.4,0.10,0.10,359.9,0,NAN,NAN
"2022-08-26 02:41:00",2355,505.5,16.04,0.10,0.10,359.9,0.06,NAN,NAN
"2022-08-26 02:51:00",2356,507,16.44,0.28,0.28,359.9,0.08,NAN,NAN
"2022-08-26 03:01:00",2357,501.3,16.47,0.10,0.10,359.9,0.03,NAN,NAN
"2022-08-26 03:11:00",2358,504.7,16.3,0.10,0.10,359.9,0.11,NAN,NAN
"2022-08-26 03:21:00",2359,505.8,16.16,0.10,0.10,359.9,0.03,NAN,NAN
