timestamp,DHI_pf01_Avg,GHI_pf01_Avg,PA_mk01_Avg,RH_mk01_Avg,RR_mk01_Avg,TA_mk01_Avg,TB_td01_Avg,TI_dd01_Avg,UD_dd01_Avg,WD_mk01_Avg,WD_mk01_Std,WSG_mk01_Max,WS_mk01_Avg
2021-11-01T00:00:00Z,0.678,0.678,1013.0,87.0,655.4,19.9,20.58,21.59,13.52,103.5,43.97,0.5,0.267
2021-11-01T00:01:00Z,0.678,0.678,1013.0,87.0,655.4,19.9,20.59,21.59,13.51,93.1,21.35,0.4,0.25
2021-11-01T00:02:00Z,0.678,0.678,1013.0,87.0,655.4,19.9,20.59,21.59,13.51,126.6,17.55,0.4,0.333
2021-11-01T00:03:00Z,0.678,0.678,1013.0,87.0,655.4,19.9,20.59,21.59,13.44,103.3,76.91,0.4,0.25
2021-11-01T00:04:00Z,0.706,0.678,1013.0,86.9,655.4,19.9,20.59,21.59,13.52,171.2,11.33,0.5,0.317
2021-11-01T00:05:00Z,0.678,0.678,1013.0,86.8,655.4,19.9,20.58,21.59,13.52,187.2,11.04,0.5,0.35
2021-11-01T00:06:00Z,0.678,0.678,1013.0,86.7,655.4,19.9,20.57,21.59,13.52,179.2,49.56,0.4,0.3
2021-11-01T00:07:00Z,0.678,0.678,1013.0,86.7,655.4,19.9,20.57,21.59,13.51,135.2,54.65,0.3,0.233
2021-11-01T00:08:00Z,0.678,0.678,1013.0,86.7,655.4,19.9,20.56,21.59,13.46,175.9,25.41,0.4,0.267
2021-11-01T00:09:00Z,0.678,0.678,1013.0,86.7,655.4,19.9,20.56,21.59,13.52,177.5,14.48,0.5,0.333
2021-11-01T00:10:00Z,0.678,0.593,1013.0,86.7,655.4,19.9,20.56,21.59,13.52,136.2,26.05,0.4,0.3
2021-11-01T00:11:00Z,0.678,0.678,1013.0,86.7,655.4,19.9,20.53,21.57,13.52,171.6,14.52,0.5,0.367
2021-11-01T00:12:00Z,0.678,0.678,1013.0,86.7,655.4,19.9,20.52,21.56,13.51,174.8,14.39,0.6,0.45
2021-11-01T00:13:00Z,0.678,0.678,1013.0,86.7,655.4,19.9,20.51,21.56,13.45,180.0,28.15,0.5,0.217
2021-11-01T00:14:00Z,0.678,0.678,1013.0,86.6,655.4,19.9,20.51,21.56,13.52,165.6,25.24,0.5,0.367
2021-11-01T00:15:00Z,0.678,0.678,1013.0,86.6,655.4,19.9,20.51,21.56,13.52,123.1,24.36,0.5,0.283
2021-11-01T00:16:00Z,0.678,0.593,1013.0,86.7,655.4,19.9,20.51,21.56,13.51,147.0,23.04,0.4,0.267
2021-11-01T00:17:00Z,0.678,0.678,1013.0,86.7,655.4,19.9,20.51,21.56,13.47,160.5,13.62,0.5,0.367
2021-11-01T00:18:00Z,0.678,0.678,1013.0,86.6,655.4,19.9,20.51,21.56,13.52,182.5,4.854,0.4,0.35
2021-11-01T00:19:00Z,0.678,0.706,1013.0,86.6,655.4,19.9,20.5,21.56,13.52,153.0,26.81,0.5,0.4
2021-11-01T00:20:00Z,0.678,0.706,1013.0,86.7,655.4,19.9,20.5,21.56,13.52,133.4,22.7,0.4,0.283
