Date,High,Avg,Low
5/1/2022,11.8,2.2,0.0
5/2/2022,10.5,2.4,0.0
5/3/2022,11.1,2.9,0.0
5/4/2022,13.6,3.4,0.0
5/5/2022,16.1,4.4,0.0
5/6/2022,17.6,4.5,0.0
5/7/2022,13.4,2.3,0.0
5/8/2022,10.9,2.6,0.0
5/9/2022,7.6,2.2,0.0
5/10/2022,8.5,1.5,0.0
5/11/2022,13.8,2.0,0.0
5/12/2022,9.6,1.7,0.0
5/13/2022,12.9,3.2,0.0
5/14/2022,10.7,3.4,0.0
5/15/2022,11.4,3.3,0.0
5/16/2022,15.4,3.0,0.0
5/17/2022,15.4,3.1,0.0
5/18/2022,14.9,3.3,0.0
5/19/2022,11.1,2.6,0.0
5/20/2022,14.7,2.9,0.0
5/21/2022,14.5,2.4,0.0
5/22/2022,12.5,2.0,0.0
5/23/2022,12.5,2.3,0.0
5/24/2022,14.3,3.1,0.0
5/25/2022,10.2,1.7,0.0
5/26/2022,8.5,2.0,0.0
5/27/2022,7.6,0.8,0.0
5/28/2022,13.1,1.6,0.0
5/29/2022,15.2,3.1,0.0
5/30/2022,16.7,2.9,0.0
5/31/2022,15.4,3.1,0.0
