Date,High,Avg,Low
6/1/2022,12.5,1.7,0.0
6/2/2022,7.8,1.7,0.0
6/3/2022,14.3,2.2,0.0
6/4/2022,17.2,3.6,0.0
6/5/2022,14.0,2.2,0.0
6/6/2022,12.5,2.4,0.0
6/7/2022,13.6,2.3,0.0
6/8/2022,9.3,2.2,0.0
6/9/2022,14.0,2.7,0.0
6/10/2022,12.3,2.9,0.0
6/11/2022,13.8,3.3,0.0
6/12/2022,14.5,3.0,0.0
6/13/2022,13.4,3.1,0.0
6/14/2022,15.4,2.2,0.0
6/15/2022,12.7,2.8,0.0
6/16/2022,14.0,3.0,0.0
6/17/2022,11.8,1.0,0.0
6/18/2022,7.3,1.6,0.0
6/19/2022,12.3,1.6,0.0
6/20/2022,14.5,2.2,0.0
6/21/2022,13.1,2.1,0.0
6/22/2022,11.8,1.4,0.0
6/23/2022,10.5,1.6,0.0
6/24/2022,18.7,3.0,0.0
6/25/2022,14.5,2.3,0.0
6/26/2022,10.0,1.1,0.0
6/27/2022,9.6,0.9,0.0
6/28/2022,11.8,1.7,0.0
6/29/2022,14.9,1.9,0.0
