Date,High,Avg,Low
12/1/2022,9.6,0.9,0.0
12/2/2022,9.3,0.7,0.0
12/3/2022,11.4,1.7,0.0
12/4/2022,11.8,1.2,0.0
12/5/2022,15.2,2.8,0.0
12/6/2022,14.9,3.2,0.0
12/7/2022,15.4,3.7,0.0
12/8/2022,15.2,4.1,0.0
12/9/2022,12.7,3.2,0.0
12/10/2022,12.7,2.8,0.0
12/11/2022,14.5,2.5,0.0
12/12/2022,15.2,3.0,0.0
12/13/2022,14.3,3.7,0.0
12/14/2022,14.7,2.7,0.0
12/15/2022,12.9,2.3,0.0
12/16/2022,14.0,2.8,0.0
12/17/2022,16.3,3.6,0.0
12/18/2022,15.2,2.8,0.0
12/19/2022,15.2,3.2,0.0
12/20/2022,15.4,2.5,0.0
12/21/2022,13.8,1.7,0.0
12/22/2022,14.7,1.9,0.0
12/23/2022,15.4,2.4,0.0
12/24/2022,11.4,1.3,0.0
12/25/2022,14.9,2.4,0.0
12/26/2022,14.3,2.8,0.0
12/27/2022,15.6,2.7,0.0
12/28/2022,14.7,3.0,0.0
12/29/2022,8.7,1.5,0.0
12/30/2022,7.8,1.1,0.0
12/31/2022,11.1,1.0,0.0
