Date,High,Avg,Low
9/1/2022,8.9,1.2,0.0
9/2/2022,9.3,1.3,0.0
9/3/2022,11.6,2.1,0.0
9/4/2022,15.6,3.3,0.0
9/5/2022,15.2,3.3,0.0
9/6/2022,12.0,2.1,0.0
9/7/2022,11.4,2.0,0.0
9/8/2022,14.0,2.2,0.0
9/9/2022,14.9,2.4,0.0
9/10/2022,14.9,2.3,0.0
9/11/2022,14.7,2.4,0.0
9/12/2022,12.7,2.9,0.0
9/13/2022,11.4,2.1,0.0
9/14/2022,10.2,2.7,0.0
9/15/2022,14.5,2.6,0.0
9/16/2022,16.3,2.7,0.0
9/17/2022,14.7,2.9,0.0
9/18/2022,17.2,2.7,0.0
9/19/2022,15.4,3.1,0.0
9/20/2022,15.2,3.4,0.0
9/21/2022,15.2,4.6,0.0
9/22/2022,17.6,4.8,0.0
9/23/2022,16.5,4.5,0.0
9/24/2022,14.5,3.1,0.0
9/25/2022,13.6,2.9,0.0
9/26/2022,14.7,2.8,0.0
9/27/2022,15.2,2.2,0.0
9/28/2022,11.8,1.5,0.0
9/29/2022,11.8,1.8,0.0
9/30/2022,11.8,1.8,0.0
