Date,High,Avg,Low
3/1/2022,10.0,2.0,0.0
3/2/2022,11.8,2.8,0.0
3/3/2022,12.7,1.9,0.0
3/4/2022,12.0,2.8,0.0
3/5/2022,11.4,2.8,0.0
3/6/2022,14.7,3.9,0.0
3/7/2022,13.8,3.2,0.0
3/8/2022,9.6,1.6,0.0
3/9/2022,10.9,1.7,0.0
3/10/2022,10.2,2.3,0.0
3/11/2022,11.8,3.1,0.0
3/12/2022,11.6,2.5,0.0
3/13/2022,14.9,3.0,0.0
3/14/2022,13.8,2.9,0.0
3/15/2022,11.1,2.5,0.0
3/16/2022,8.9,1.3,0.0
3/17/2022,8.7,1.8,0.0
3/18/2022,9.6,1.5,0.0
3/19/2022,9.3,1.8,0.0
3/20/2022,8.7,2.0,0.0
3/21/2022,7.1,1.6,0.0
3/22/2022,9.8,2.3,0.0
3/23/2022,10.9,2.7,0.0
3/24/2022,11.4,2.6,0.0
3/25/2022,12.5,1.7,0.0
3/26/2022,8.9,1.7,0.0
3/27/2022,8.9,1.7,0.0
3/28/2022,8.9,1.7,0.0
3/29/2022,11.8,2.3,0.0
3/30/2022,14.9,2.8,0.0
