Date,High,Avg,Low
4/1/2022,18.3,4.8,0.0
4/2/2022,18.3,4.1,0.0
4/3/2022,17.8,4.2,0.0
4/4/2022,14.9,4.0,0.0
4/5/2022,14.0,2.6,0.0
4/6/2022,14.0,3.6,0.0
4/7/2022,12.9,3.3,0.0
4/8/2022,12.5,3.1,0.0
4/9/2022,13.1,3.2,0.0
4/10/2022,15.4,3.3,0.0
4/11/2022,15.8,3.3,0.0
4/12/2022,16.5,3.5,0.0
4/13/2022,14.9,3.7,0.0
4/14/2022,17.0,4.8,0.0
4/15/2022,19.0,4.2,0.0
4/16/2022,17.6,4.7,0.0
4/17/2022,14.7,3.4,0.0
4/18/2022,12.0,2.1,0.0
4/19/2022,11.8,2.0,0.0
4/20/2022,9.1,1.9,0.0
4/21/2022,8.2,1.7,0.0
4/22/2022,12.9,3.5,0.0
4/23/2022,15.2,3.5,0.0
4/24/2022,15.4,3.6,0.0
4/25/2022,15.4,3.5,0.0
4/26/2022,14.0,3.1,0.0
4/27/2022,8.9,1.5,0.0
4/28/2022,10.0,1.8,0.0
4/29/2022,10.5,2.2,0.0
4/30/2022,10.7,2.0,0.0
